Reason,State,Total,    Age 18 - 24,    Age 25 - 39,    Age 40 - 54,    Age 55 - 64,    Age 65 and above,    Male,    Female,    Hispanic or Latino (may be of any race),"    White alone, not Hispanic","    Black alone, not Hispanic","    Asian alone, not Hispanic","    Two or more races + Other races, not Hispanic",    Less than high school,    High school or GED,    Some college/associate’s degree,    Bachelor’s degree or higher,    Married,    Widowed,    Divorced/separated,    Never married,No Marriage Status,    1 person in the household,    2 people in the household,    3 people in the household,    4 people in the household,    5 people in the household,    6 people in the household,    7 or more people in the household,    Children in household,    No children,    Received loss of employment income,    Did not receive loss of employment income,    Did not report loss of employment income,Employed,Unemployed,    Did not report employment status,"    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above",    Did not report HH income,    Regular income sources like those received before the pandemic,    Credit cards or loans,    Money from savings or selling assets or possessions,    Borrowing from friends or family,    Unemployment insurance (UI) benefit payments,    Stimulus (economic impact) payment,    Money saved from deferred or forgiven payments (to meet spending needs),    Supplemental Nutrition Assistance Program (SNAP),    Other,    Did not report money lending in past 7 days,    Serving on active duty,    Serving in Reserve or National Guard,    Spouse serving on active duty,    Spouse serving in Reserve or National Guard,    No active duty service (self or spouse),    Did not report Military status,    No difficulty seeing,    Some difficulty seeing,    A lot of difficulty seeing,Blind,    Did not report difficulty seeing,    No difficulty hearing,    Some difficulty hearing,    A lot of difficulty hearing,Deaf,    Did not report difficulty hearing,    No difficulty remembering/concetrating,    Some difficulty remembering/concetrating,    A lot of difficulty remembering/concetrating,    Cannot do at all remembering/concetrating,    Did not report difficulty remembering/concetrating,    No difficulty walking,    Some difficulty walking,    A lot of difficulty walking,    Cannot walk at all,    Did not report difficulty walking,Previously infected,Not previously infected,    Unsure C-19 diagnosis,    Did not report a C-19 diagnosis
Don’t know if a vaccine will work,IL,304677,70683,70759,114346,46343,2546,97076,207601,41582,226799,28940,7356,-,17429,130002,98051,59195,113819,15271,39329,136259,-,6547,54574,37355,40295,45023,89317,31567,218481,86196,63937,240740,-,223460,81217,-,90040,15851,4484,48432,4473,21352,2009,-,118036,230075,92266,70128,58920,18263,67289,-,13459,6803,46901,-,-,-,-,304677,-,182113,60603,-,-,61962,202830,39886,-,-,61962,103139,135452,4125,-,61962,166247,65422,11047,-,61962,105267,199410,-,-
Don’t believe I need a vaccine,IL,324507,92048,169748,36905,22222,3583,207290,117217,16068,292304,13959,2176,-,20093,146645,84788,72981,113744,-,81698,123166,5899,10638,49680,47871,39518,15439,88386,72975,247383,77124,73298,251209,-,249415,75092,-,20555,1714,6044,25445,23362,87196,3020,9962,147208,206405,23759,16473,25758,51483,24286,-,31895,-,84209,-,2176,6044,-,316287,-,154314,66268,-,-,103925,210138,10444,-,-,103925,143171,31322,46088,-,103925,173657,28781,18144,-,103925,132793,191714,-,-
Don’t like vaccines,IL,173846,-,119357,34665,18522,1302,120014,53833,18996,154851,-,-,-,20590,99647,19975,33635,58039,15271,74825,25711,-,5003,32089,30397,15584,6396,11402,72975,141595,32251,51055,122792,-,106631,67216,-,23527,309,17446,6128,2348,19536,1820,-,102732,36506,49298,18682,40288,13194,40549,11402,15729,-,80731,-,-,6044,-,167802,-,37204,52826,857,-,82960,84491,6396,-,-,82960,58228,12069,20590,-,82960,55247,6705,24520,4414,82960,89019,73426,11402,-
Doctor has not recommended it,IL,171295,35342,61936,49792,-,24225,22502,148793,10024,105203,31842,-,24225,30622,64946,28033,47695,41318,24225,21832,83919,-,3420,28254,13939,28920,30622,52003,14138,136626,34669,66836,104459,-,132334,38961,-,13693,16553,16662,8460,6336,7561,1820,-,100210,96987,74245,67281,57846,30995,11318,-,20089,2730,52399,-,-,-,-,165396,5899,96161,16662,-,-,58473,106426,6396,-,-,58473,27409,72477,12937,-,58473,92289,20534,-,-,58473,50744,120551,-,-
Plan to wait and see if it is safe,IL,830915,130178,299286,248205,69596,83649,217559,613355,169374,456294,188633,15856,757,70742,305507,293434,161232,429616,17183,103854,274362,5899,31319,143888,188408,176474,76729,160855,53241,558536,272379,168003,662912,-,537972,292943,-,113476,56901,80004,79914,59039,86691,3120,27888,323883,493207,150404,126498,69654,100883,212463,12873,110033,2730,215670,-,5732,-,-,824444,739,424683,153798,857,-,251577,517614,54109,7615,-,251577,325402,202126,49433,-,253954,426709,140919,11710,-,251577,145897,685018,-,-
Other people need it more right now,IL,282497,48440,77761,145304,10992,-,84844,197653,35824,198362,33796,5628,8887,6396,103343,57914,114843,125624,-,18854,138019,-,4918,22218,112073,67975,37298,38015,-,150067,132429,94419,188078,-,225684,56813,-,9425,6691,24528,44905,20140,23349,7419,25778,120260,219050,85431,67778,59154,26768,61061,12231,18627,2730,32990,-,-,6044,-,276453,-,180653,40098,-,-,61746,200472,20278,-,-,61746,104379,109975,6396,-,61746,189780,30971,-,-,61746,153920,128577,-,-
Concerned about the cost,IL,17105,-,-,16351,754,-,5279,11826,-,10132,6973,-,-,6396,-,2982,7727,11072,-,5279,754,-,754,5279,4676,-,6396,-,-,16351,754,6396,10709,-,9955,7150,-,-,-,1694,-,754,2982,-,-,11675,2982,8090,8090,8090,8844,1694,-,6396,-,5279,-,-,-,-,17105,-,11826,-,-,-,5279,5430,6396,-,-,5279,4676,754,6396,-,5279,3736,8090,-,-,5279,-,17105,-,-
Don’t trust COVID-19 vaccines,IL,538316,87126,274216,120030,27909,29035,213468,324849,74701,379217,58252,6168,19979,43500,242086,152410,100320,235939,6677,126394,163407,5899,42446,127495,81945,64720,28472,108495,84743,374739,163577,109505,428811,-,300989,231344,5983,121931,8751,50017,18407,60933,41386,7017,8887,220988,269223,116697,78812,79764,54314,120001,19184,17037,16962,142557,-,13944,6044,-,517589,739,230855,110319,-,14957,182185,317107,24067,-,14957,182185,187472,138571,18319,11768,182185,271836,53389,19137,-,193954,196133,330415,11768,-
Don’t trust the government,IL,446957,57631,166378,134991,73016,14942,256560,190397,24398,386378,34006,2176,-,28305,198618,138988,81046,188963,14372,114601,123122,5899,35467,86430,68847,60488,34313,84138,77274,269073,177884,129293,317665,-,315070,131887,-,56498,9638,11533,38514,23362,67059,2009,14261,224083,241113,131555,78409,75982,31329,56044,7416,15998,4300,115819,-,6476,6044,-,433699,739,226052,69446,-,4300,147160,250253,37630,7615,4300,147160,146962,126727,21808,4300,147160,248764,24800,26234,-,147160,219093,227864,-,-
Other,IL,337206,35342,142837,112395,37001,9632,137021,200185,38103,275394,18069,2176,3465,6396,151156,73326,106328,111438,11013,110227,100375,4152,30985,54454,29109,57416,28425,52075,84743,203418,133788,54442,282764,-,248825,88381,-,27945,7308,29288,22530,18622,15512,14619,27853,173530,195945,66117,68557,67876,19679,53846,11768,25467,14194,105992,-,13944,-,-,323262,-,131552,58143,10656,11768,125087,192014,8337,-,11768,125087,76878,87274,33822,11768,127463,161069,22784,12084,4414,136855,170057,146666,20483,-
Did not report,IL,23794,-,7015,10984,5794,-,16049,7744,-,21843,-,1950,-,-,5794,6471,11529,10984,5794,-,7015,-,-,19280,2564,1950,-,-,-,4514,19280,15373,8421,-,17999,5794,-,-,5794,-,7015,-,6471,-,-,4514,17999,1950,7744,-,-,2564,-,-,-,-,-,-,-,-,23794,-,15436,5794,-,-,2564,15436,5794,-,-,2564,15436,5794,-,-,2564,15436,-,5794,-,2564,-,23794,-,-
Total,IN,1271254,172996,456947,348166,153498,139646,563561,707693,104777,973199,131717,26171,35390,83746,585022,423795,178691,638332,28665,221286,381573,1398,101966,298572,314264,276306,120291,71832,88023,609865,661389,236236,1035018,-,717913,548283,5058,154711,105027,128854,119343,147624,119740,18237,7178,470539,830515,209694,185902,151585,71877,435570,19791,104824,70234,166666,2464,-,5651,-,1261741,1398,635195,273698,18220,8854,335286,812758,79763,10035,33412,335286,595675,266274,67153,6866,335286,768920,125372,35719,5956,335286,296255,943243,31756,-
Concerned about possible side effects,IN,647275,103888,233059,136861,64059,109408,284245,363030,30297,532548,61650,4092,18688,36733,237708,285791,87043,251290,12875,145492,236220,1398,31355,168656,120273,174850,62968,32840,56333,245518,401756,108391,538884,-,404561,237656,5058,75026,21873,90310,79374,74152,53823,6838,2194,243685,468522,136346,139772,76906,19189,286362,17433,48982,19907,47856,-,-,5651,-,640225,1398,326873,137144,13364,2898,166996,430731,38296,5179,6073,166996,288700,151201,40377,-,166996,403311,45595,31373,-,166996,200996,433846,12432,-
Don’t know if a vaccine will work,IN,262651,58381,111376,56585,26211,10098,80759,181892,13369,201924,29215,9131,9012,-,126802,76521,59328,122437,-,46398,92418,1398,9555,83450,74321,37957,21304,17564,18500,109927,152724,52864,209788,-,162019,95574,5058,28832,8755,28379,37437,14485,39063,2246,-,103455,198155,42601,65476,11338,9937,86268,14061,14979,17752,16086,-,-,-,-,261253,1398,140182,44572,4274,-,73623,180274,4274,4480,-,73623,136223,51626,1179,-,73623,183658,4277,1093,-,73623,53774,191613,17264,-
Don’t believe I need a vaccine,IN,212313,60394,71677,47835,19883,12525,83641,128673,-,206894,707,-,4713,-,118158,56607,37548,126818,3127,20665,60306,1398,13478,67753,66435,28383,25719,9279,1267,112645,99669,26828,185485,-,125020,82236,5058,43198,2311,32528,11695,23470,55417,1179,1228,41287,172078,15084,21929,31324,6788,33194,-,28214,-,6553,-,-,-,-,210915,1398,138363,50930,-,-,23020,175664,13629,-,-,23020,146007,38098,5188,-,23020,157346,31241,707,-,23020,29817,178601,3895,-
Don’t like vaccines,IN,89815,22820,18941,29356,17605,1093,38337,51478,13369,67795,8651,-,-,-,41726,23025,25064,38522,2326,39723,9245,-,17487,18410,20008,13711,2326,3238,14636,37718,52097,32310,57505,-,35998,53818,-,33433,1686,-,1267,5473,15081,1473,966,30437,43014,1093,15447,29252,-,9075,-,23735,13369,-,-,-,-,-,89815,-,44891,24241,966,-,19718,66463,3635,-,-,19718,35106,34992,-,-,19718,34758,34246,1093,-,19718,11273,65174,13369,-
Doctor has not recommended it,IN,58080,7974,27531,10848,11726,-,29862,28217,-,53600,-,-,4480,-,23160,26946,7974,20229,-,2345,35505,-,2345,9381,13032,21888,11433,-,-,15329,42751,4480,53600,-,38012,15010,5058,-,4480,2345,4691,17993,-,-,-,28571,49704,32920,7974,17993,-,27164,4480,4480,-,3895,-,-,-,-,58080,-,32222,2345,-,-,23513,30087,-,4480,-,23513,7036,27531,-,-,23513,32222,2345,-,-,23513,7036,47149,3895,-
Plan to wait and see if it is safe,IN,530459,106474,222359,148004,42227,11395,254185,276273,69370,384355,49352,5743,21639,26143,191643,230984,81688,265022,4856,56800,202383,1398,32060,112942,165672,139594,31063,31894,17233,284956,245502,105157,425302,-,299766,225635,5058,37687,62807,63376,76383,73097,54554,3718,2504,156331,390641,107338,90811,41994,48529,214278,18612,36879,38154,47988,2464,-,-,-,526597,1398,300779,112898,9077,2898,104807,359279,50485,5179,10708,104807,271084,135894,18673,-,104807,382370,33788,9493,-,104807,136293,378977,15189,-
Other people need it more right now,IN,167346,55538,66541,35505,9762,-,104870,62476,13369,135155,6911,-,11911,11911,34250,90482,30703,42097,-,30940,94308,-,10257,25591,11194,92941,1179,12817,13369,69818,97528,41581,125765,-,99932,67413,-,-,23212,17993,19696,25286,20825,2246,1252,56836,107695,43967,25870,43341,-,73113,4551,4274,13369,15983,-,-,-,-,167346,-,82134,41416,4274,-,39521,108147,19678,-,-,39521,94263,27758,5803,-,39521,127824,-,-,-,39521,28123,125854,13369,-
Concerned about the cost,IN,57909,-,47220,5999,4691,-,44021,13889,-,25595,26359,5956,-,-,33917,22725,1267,7602,-,3088,47220,-,9043,6335,-,24104,17161,-,1267,26182,31727,15154,42756,-,32971,24939,-,9198,-,-,1267,19637,-,-,-,27807,25595,17993,1644,27191,6110,22684,-,-,-,23116,-,-,-,-,57909,-,25371,4732,-,-,27807,30103,-,-,-,27807,7378,19637,3088,-,27807,27015,-,3088,-,27807,4691,53219,-,-
Don’t trust COVID-19 vaccines,IN,407729,96319,118993,125329,32812,34276,166102,241627,27621,346474,29102,-,4532,9596,183821,157536,56776,214705,10597,55263,125766,1398,16521,141782,127266,67215,11727,24718,18500,179265,228464,49886,357843,-,239605,163067,5058,59750,910,52429,47612,42421,59663,10298,2194,132453,290720,53000,52080,50158,12605,90800,5030,26831,20963,49130,-,-,-,-,406331,1398,199178,108737,4512,-,95302,277869,24147,698,9713,95302,212470,89253,10704,-,95302,250660,49350,12417,-,95302,80135,305841,21752,-
Don’t trust the government,IN,316786,67453,117769,78486,31861,21217,186937,129850,18151,264856,24350,1360,8070,-,104243,174691,37852,153968,9121,40680,111619,1398,22680,98225,94655,52991,10539,36429,1267,139173,177613,48153,268634,-,212732,98997,5058,50011,7684,26779,23785,39976,49043,12784,1228,105496,240163,57133,52801,64280,8741,78598,9511,22802,3546,32886,-,-,-,-,315388,1398,197045,72648,3546,-,43548,249103,19655,4480,-,43548,188895,71134,13209,-,43548,239371,26141,7727,-,43548,53829,256393,6564,-
Other,IN,213598,14084,78899,50398,50999,19218,68250,145348,28431,137156,41019,6992,-,26712,70571,64642,51673,109702,-,43790,60106,-,34561,24706,71392,31765,3024,15193,32958,91331,122267,47096,166502,-,105227,108371,-,19895,30643,12198,34602,16548,23340,3980,2480,69910,142293,27429,45905,25196,7117,78836,-,29045,28584,23356,-,-,-,-,213598,-,93946,40902,12677,5956,60117,126903,8730,4856,12991,60117,45014,71986,29615,6866,60117,124081,16258,7185,5956,60117,43209,148396,21993,-
Did not report,IN,15437,-,3537,10513,1387,-,5531,9906,9285,6152,-,-,-,3754,5531,-,6152,9906,-,5531,-,-,5531,3754,3537,1387,-,1228,-,2615,12822,-,15437,-,2615,12822,-,-,-,-,-,-,1387,-,-,14050,4924,1387,-,-,-,1387,-,-,-,10513,-,-,-,-,15437,-,5141,-,-,-,10296,5141,-,-,-,10296,5141,-,-,-,10296,5141,-,-,-,10296,3537,11900,-,-
Total,IA,577488,87679,160464,208008,86775,34561,351278,226209,14680,494320,19009,10690,38789,60547,200197,229149,87594,292388,10949,104729,164405,5018,46515,193207,109361,98353,63022,57160,9870,240220,337268,124478,452573,437,407714,167778,1995,51234,32230,53243,98594,58205,35505,34938,11259,202281,326319,95891,85205,68440,8106,115564,19132,26163,16664,131697,-,-,3213,-,573112,1163,292801,89123,24542,-,171023,364625,30311,11529,-,171023,249131,141362,14496,-,172499,320139,55702,29148,-,172499,97173,466974,13342,-
Concerned about possible side effects,IA,297657,78266,74079,99006,32787,13518,171969,125688,9252,257666,8370,437,21932,37407,92988,117536,49726,122961,617,69374,99687,5018,13319,76863,55451,72639,40286,37231,1868,152245,145412,55113,242107,437,206720,90500,437,10643,15964,29935,51888,19261,24344,10304,11259,124060,165024,57008,51706,28585,448,68121,19132,9315,7417,75018,-,-,3213,-,294007,437,143436,56417,5002,-,92802,189480,14759,617,-,92802,132624,62516,8239,-,94278,175203,15859,12317,-,94278,28825,263823,5009,-
Don’t know if a vaccine will work,IA,109849,14673,26912,49138,10891,8235,71818,38031,-,102954,1383,437,5075,29250,17802,44512,18285,44741,-,41383,23288,437,9647,33005,9122,21703,21699,14673,-,58230,51619,15477,93935,437,65999,43413,437,3573,8547,17459,12525,13064,17794,896,6210,29779,85220,19269,6472,6315,1383,26779,2154,6040,-,12622,-,-,3213,-,106199,437,70286,19529,2847,-,17186,91187,1476,-,-,17186,73686,14653,2847,-,18662,73070,5799,12317,-,18662,7894,100572,1383,-
Don’t believe I need a vaccine,IA,96277,14673,41642,28161,9408,2394,70912,25365,-,84000,3148,2564,6565,-,28612,43925,23740,67238,-,19999,8603,437,2361,17900,13836,39990,15371,3467,3351,68661,27616,6658,89182,437,78777,17064,437,3954,1579,19331,22432,9921,9880,2497,6210,20473,64070,3856,24534,10219,448,10229,9413,-,-,13132,-,-,3213,-,92627,437,80993,3799,-,-,11485,73903,10889,-,-,11485,61179,22137,-,-,12961,83316,-,-,-,12961,18914,77363,-,-
Don’t like vaccines,IA,37041,7417,9413,11535,7261,1415,21292,15748,-,36604,-,437,-,-,-,35260,1781,15669,-,13518,7417,437,1863,8157,7417,19604,-,-,-,27021,10020,3400,33204,437,30792,5811,437,-,12523,448,10391,2679,896,-,-,10104,36156,2603,12813,9413,448,15202,11567,-,7417,437,-,-,-,-,36604,437,26216,8233,-,-,2591,25036,9413,-,-,2591,25606,8843,-,-,2591,31497,2952,-,-,2591,4833,32208,-,-
Doctor has not recommended it,IA,51882,7814,7717,21971,6582,7798,35464,16418,-,51882,-,-,-,9907,7807,27642,6525,26951,-,14282,10649,-,726,28570,3637,10632,8318,-,-,25421,26461,7960,43922,-,43313,8569,-,7843,2952,726,15621,2154,6358,-,1643,14585,39801,10649,4428,-,-,7960,-,-,-,7072,-,-,-,-,51156,726,26666,13135,5008,-,7072,39075,726,5008,-,7072,36966,2835,5008,-,7072,36123,8686,-,-,7072,7843,44039,-,-
Plan to wait and see if it is safe,IA,272446,73006,81994,66143,37217,14086,150475,121972,10005,236114,8183,5009,13135,27487,90657,110130,44172,129650,4651,45074,93072,-,16279,100800,57445,19851,34131,37421,6519,112631,159816,77445,195001,-,208416,64030,-,20889,25724,21291,56122,29712,17865,3292,11259,86292,176616,69200,25454,46059,6275,75959,9719,18671,12426,49058,-,-,-,-,272446,-,130784,57349,16686,-,67627,203586,1234,-,-,67627,120458,77722,6640,-,67627,155474,37554,11792,-,67627,27289,233198,11959,-
Other people need it more right now,IA,91697,24086,30059,16118,11171,10263,60970,30727,9252,80317,-,2127,-,14929,18916,35705,22147,25048,-,19342,47307,-,11198,15735,37016,15435,10445,-,1868,27682,64015,29154,62543,-,80226,11471,-,2847,3133,3222,7021,7601,1245,-,2894,63733,26581,7632,2892,10910,-,17721,8397,-,1733,51238,-,-,-,-,91697,-,19035,15334,2847,-,54480,35982,1234,-,-,54480,23702,10666,2847,-,54480,32495,4722,-,-,54480,7188,79499,5009,-
Concerned about the cost,IA,23825,-,10495,4098,4581,4651,3138,20688,-,20677,3148,-,-,2847,7728,7347,5902,7718,4651,7057,4399,-,5985,5831,-,3148,4210,-,4651,12009,11816,-,23825,-,13620,10205,-,5995,-,4651,1251,4581,-,-,-,7347,8679,5902,-,-,-,5995,-,-,-,7347,-,-,-,-,23825,-,8979,4651,2847,-,7347,16478,-,-,-,7347,12380,-,4098,-,7347,8979,7499,-,-,7347,9232,14593,-,-
Don’t trust COVID-19 vaccines,IA,205710,39317,42761,84755,27102,11775,112929,92780,4243,169889,12900,437,18240,24272,74115,93580,13743,92899,3192,43451,65732,437,13140,45145,46615,65663,18875,16272,-,102031,103679,33140,172133,437,153113,52160,437,7986,15099,27683,38166,14008,4599,15820,7853,74496,114171,25431,56203,16804,1383,39874,11567,1383,7417,46186,-,-,3213,-,202060,437,118164,39299,-,-,48247,134247,22599,617,-,48247,89386,66601,-,-,49723,148239,3917,3831,-,49723,20439,183889,1383,-
Don’t trust the government,IA,188997,46573,57542,57973,19220,7689,122239,66758,4675,155488,6605,2127,20102,14673,58001,94031,22292,70912,617,30556,86912,-,8406,56376,26949,50812,15509,30945,-,87949,101047,19082,169915,-,133091,55906,-,9071,8547,20989,26124,21503,19118,5005,8365,70275,120068,20503,36176,11071,1831,19595,14123,1383,-,44310,-,-,3213,-,185783,-,100086,38487,2154,-,48269,127988,12123,617,-,48269,102663,35266,1322,-,49745,131458,7068,726,-,49745,19647,167967,1383,-
Other,IA,81506,-,25076,42076,12902,1451,42122,39384,-,72671,-,3116,5718,3105,12508,45218,20674,48165,3105,20987,9248,-,9225,12481,19661,23828,12844,3467,-,48024,33481,10654,70851,-,60585,20921,-,1451,2154,1751,16608,9439,6249,8951,7853,27048,55272,2154,12204,10864,-,10325,12889,1451,2504,19147,-,-,3213,-,78292,-,46442,13097,-,-,21967,45533,14005,-,-,21967,38079,18662,1322,-,23443,53539,3063,1460,-,23443,18421,63085,-,-
Did not report,IA,17454,-,-,10045,5904,1506,14391,3064,-,15896,-,-,1558,-,8487,7462,1506,17454,-,-,-,-,1558,9992,-,5904,-,-,-,-,17454,-,17454,-,8487,7409,1558,5904,-,-,1506,-,-,8487,-,1558,9992,-,5904,5904,-,-,-,-,-,1558,-,-,-,-,17454,-,8487,7409,-,-,1558,9992,-,5904,-,1558,8487,7409,-,-,1558,8487,-,7409,-,1558,11550,5904,-,-
Total,KS,506966,47271,181600,170359,56048,51689,257771,249196,54802,428708,8278,2819,12360,10716,232618,153416,110217,219986,32046,76476,178458,-,21543,92720,98915,102945,93341,39002,58501,309767,197199,66149,440817,-,353004,153962,-,55711,44461,38444,91200,78332,29652,8574,5296,155296,346287,43644,74138,28631,18112,150962,32042,6590,24996,58169,-,10216,-,1280,495470,-,331708,64818,13903,-,96538,351943,41931,1253,17652,94188,234930,135181,32547,10120,94188,342673,50658,22914,-,90722,162777,342438,1751,-
Concerned about possible side effects,KS,317740,43804,109799,98606,35483,30048,182217,135522,22255,290517,3756,1211,-,3730,191690,67721,54599,124205,17878,36048,139609,-,12285,58762,52338,59871,61735,19341,53409,186080,131660,23365,294375,-,240037,77703,-,33268,34995,17468,48785,59659,12873,2464,-,108227,235968,19001,28151,17159,13236,77639,23222,-,13463,34962,-,4258,-,-,313481,-,229832,32471,3467,-,51970,217858,32396,-,15516,51970,158049,89556,8045,10120,51970,228803,28968,7999,-,51970,132001,185739,-,-
Don’t know if a vaccine will work,KS,104859,3467,37415,43257,13152,7569,48484,56375,10120,94739,-,-,-,-,55116,29989,19755,57453,7569,6878,32960,-,2761,25888,11164,11281,20488,19341,13936,68755,36105,4375,100484,-,85837,19022,-,20487,2988,1380,38615,13565,4980,-,-,22843,75322,7969,1824,4375,10103,36776,-,-,10120,2832,-,4258,-,-,100601,-,86057,12232,3467,-,3104,76355,15280,-,10120,3104,58489,26411,6735,10120,3104,91678,8526,1552,-,3104,35168,69691,-,-
Don’t believe I need a vaccine,KS,95378,2862,55468,19685,2501,14862,36082,59296,10120,85258,-,-,-,-,31241,19279,44859,45778,10804,3413,35383,-,3537,13796,26128,10273,9402,20131,12112,58477,36901,11093,84285,-,67351,28027,-,12040,-,20430,24641,5755,15485,1253,1566,14208,71325,2627,8966,6408,15269,41061,-,-,10120,4391,-,-,-,-,95378,-,76791,12886,-,-,5701,76215,3342,-,10120,5701,51327,19462,8768,10120,5701,82479,3856,3342,-,5701,26284,69095,-,-
Don’t like vaccines,KS,57963,3467,20912,9207,15579,8799,33627,24337,15516,42447,-,-,-,-,23602,14910,19452,18017,-,16355,23591,-,776,3467,31023,1280,8022,-,13395,28021,29942,5396,52568,-,55877,2086,-,14363,28997,3342,-,-,3275,-,-,7986,39857,5396,-,10792,1310,14291,-,-,10120,1280,-,-,-,-,57963,-,34371,12141,3467,-,7986,22321,12141,-,15516,7986,15579,24278,-,10120,7986,37837,8799,3342,-,7986,4747,53217,-,-
Doctor has not recommended it,KS,42008,3467,20264,8853,1402,8022,10584,31424,11498,27958,-,-,2552,-,16054,7573,18381,17002,6017,4025,14965,-,-,18803,5427,13946,2552,1280,-,16876,25133,11344,30664,-,16907,25102,-,5299,1402,14425,8022,1280,-,-,-,11580,21251,8032,15827,8894,2033,21131,1992,-,-,2552,-,-,-,1280,40728,-,21927,6030,-,-,14051,27958,-,-,-,14051,13592,12333,2033,-,14051,15911,15514,-,-,10584,-,42008,-,-
Plan to wait and see if it is safe,KS,221874,2862,99254,66153,34877,18728,124985,96889,27321,183382,2705,1211,7255,8229,98573,59463,55608,112789,8892,24463,75729,-,4930,49756,46158,55387,41545,4980,19118,105688,116186,25668,196206,-,184423,37451,-,36193,23111,21171,23023,58601,14099,2464,1566,41646,165045,16222,43359,9771,1824,76248,24590,5779,14620,17937,-,-,-,-,221874,-,175920,23496,2343,-,20115,164740,18114,1253,17652,20115,100376,80028,11234,10120,20115,182188,14914,4657,-,20115,80443,141431,-,-
Other people need it more right now,KS,178891,35743,58817,45572,28731,10028,121373,57517,6739,172151,-,-,-,3730,130248,20666,24246,64854,10028,17390,86619,-,1380,28155,24012,49272,22312,14286,39472,92584,86307,8563,170327,-,122398,56492,-,13550,18589,10941,29352,33937,5331,-,3730,63460,148022,6512,12474,935,1824,33609,3730,-,-,10984,-,4258,-,-,174632,-,160232,3944,-,-,14714,150781,13396,-,-,14714,118808,45369,-,-,14714,158409,5768,-,-,14714,94399,84491,-,-
Concerned about the cost,KS,18953,-,10120,-,811,8022,10120,8833,10120,8833,-,-,-,-,8022,811,10120,10931,-,-,8022,-,811,-,-,-,8022,-,10120,8022,10931,-,18953,-,18143,811,-,10931,8022,-,-,-,-,-,-,-,8022,811,811,-,-,811,-,-,10120,-,-,-,-,-,18953,-,10120,8833,-,-,-,811,8022,-,10120,-,-,8833,-,10120,-,10931,8022,-,-,-,-,18953,-,-
Don’t trust COVID-19 vaccines,KS,97876,5200,44462,32456,4154,11604,54893,42983,23548,72511,1817,-,-,-,39219,23662,34994,42419,1552,10086,43818,-,5738,30708,15418,5264,13609,10103,17036,55685,42191,21637,76239,-,77290,20585,-,14363,16406,4722,15915,9097,7954,3218,-,26199,56860,16883,4161,11736,11413,29079,-,-,10120,11520,-,1817,-,-,96059,-,53438,18105,3467,-,22867,41991,17502,-,15516,22867,25377,39512,-,10120,22867,56938,11307,6764,-,22867,19676,78200,-,-
Don’t trust the government,KS,122893,8062,49569,36122,5050,24091,55335,67558,17992,100532,1817,-,2552,4499,51719,40734,25940,43478,20056,18860,40499,-,6028,34148,14818,32018,12110,20131,3641,80905,41988,32375,90518,-,65340,57553,-,10022,2988,9425,37181,15939,14806,1253,-,31277,84856,19581,8923,4375,12584,54944,5461,5779,4499,11951,-,5958,-,-,116935,-,69630,16852,11560,-,24850,91522,6520,-,-,24850,46839,33298,17906,-,24850,72998,12810,12235,-,24850,33132,88010,1751,-
Other,KS,124657,35743,29768,40573,11780,6793,73061,51596,24918,93762,1817,1608,2552,2487,51044,38948,32178,54681,7604,18200,44171,-,6485,15912,14959,15541,11949,12131,47680,83849,40808,8689,115968,-,63236,61421,-,27321,467,1254,15841,18452,3424,2892,1566,53439,89085,9468,18270,1671,4153,30096,5461,811,17154,5974,-,6075,-,-,118582,-,96625,10075,-,-,17957,92227,6702,-,10120,15608,69906,23288,5735,10120,15608,98553,9685,811,-,15608,41235,83422,-,-
Did not report,KS,5461,-,5461,-,-,-,5461,-,-,5461,-,-,-,-,-,5461,-,-,-,-,5461,-,-,-,-,-,-,5461,-,5461,-,-,5461,-,-,5461,-,-,5461,-,-,-,-,-,-,-,5461,-,-,-,-,-,-,-,-,-,-,-,-,-,5461,-,5461,-,-,-,-,5461,-,-,-,-,5461,-,-,-,-,5461,-,-,-,-,5461,-,-,-
Total,KY,1095299,150172,367190,369909,145236,62792,483303,611996,42991,886750,52261,10214,103082,94779,529069,297066,174385,483245,41208,184124,386721,-,149850,214633,187351,154131,167010,155605,66719,527438,567861,303097,792202,-,684381,409981,937,164929,98439,118045,107916,57883,89642,22535,7879,428030,547342,124846,166090,242148,30496,344059,75879,109922,49068,214172,-,-,-,-,1094362,937,482190,234242,27039,-,351828,625340,88262,29869,-,351828,371990,315612,51510,-,356187,408081,251492,40357,39182,356187,232348,853043,9908,-
Concerned about possible side effects,KY,529344,4688,165235,220265,88321,50835,207368,321977,15125,494683,10565,-,8971,41017,259895,140515,87918,306878,25806,91563,105098,-,101290,94623,67713,64654,75691,74503,50871,273794,255550,141328,388016,-,330437,198908,-,115062,57562,54554,52961,37889,67603,16421,3838,123455,337660,79495,121873,81118,14439,204381,24875,90117,29970,73822,-,-,-,-,529344,-,266121,135737,8391,-,119097,338072,52213,19962,-,119097,229044,166413,10433,-,123455,241972,98201,28016,37700,123455,111612,408762,8971,-
